STN_ID,YEAR,MONTH,DAY,DB06,WB06,DP06,RH06,MAX,MIN,WINDRUN,PRECIP,EVAP,DB12,WB12,DP12,RH-12Z
9136164,2023,5,1,17.6,15.9,15.3,89,20.6,16,51.6,1.3,2.3,20,17.8,16.5,81
9136164,2023,5,2,17.3,15.9,16.2,85, N/A ,15.2,66.4,16.5,4,22.7,17.4,15.6,64
9136164,2023,5,3,16.4,16.4,15.3,93,24.1,15.2,78.9,TR,2,20.4,16.9,15.1,72
9136164,2023,5,4,17.4,15.8,14.7,85,23.7,15.1,76.7,TR,3.5,22.6,17.2,13.8,58
9136164,2023,5,5,16.9,15.6,14.7,86,24.6,14.6,76.7,0,3,23.7,15.8,11.5,46
9136164,2023,5,6,18.4,16.4,15.1,81,24.2,16,81.6,TR,2.5,23,17.8,14.7,59
9136164,2023,5,7,18.6,16.2,14.6,78,24.6,16.3,71.6,0,4.5,24,17.8,14,54
9136164,2023,5,8,17.8,16.4,15.5,87,24.7,15.8,76.1,33.2,6.2,23.5,16.3,13.4,53
9136164,2023,5,9,16,15.5,15.3,95,22.9,15.5,68.7,7,3.5,22.1,16.9,14.4,61
9136164,2023,5,10,16,15.8,15.6,98,23,15.7,57,4.8,3.3,22.3,16.6,14.9,63
9136164,2023,5,11,15.8,14.8,14.3,91,22.8,15.3,69.8,0,2.5,22.1,17,14.6,62
9136164,2023,5,12,17.8,16,14.8,83,24,15.4,84.8,0,4,23.2,17,13.4,54
9136164,2023,5,13,18.2,16,14.6,80,25.4,15.8,78.5,TR,5,23.6,17,12.7,51
9136164,2023,5,14,17.2,16,15.2,88,24.3,15.6,56.3,0,3,23.8,17.8,14.1,61
9136164,2023,5,15,17.1,15.5,14.7,85,24.1,14.5,78.5,0,4,23.3,17,13.8,56
9136164,2023,5,16,17,14.8,13.3,79,24.1,15.8,68.8,2.1,3.6,23,17.8,14.7,59
9136164,2023,5,17,17.5,15.9,15.1,85,23.3,16.2,56.4,TR,1,22,17.1,15.2,66
9136164,2023,5,18,17.2,16,15.2,88,24,15.4,46,4.4,3.3,23.2,17.8,14.5,58
