,,DB06,DB06,DB06,WB06,WB06,WB06,DP06,DP06,DP06,RH06,RH06,RH06,MAX,MAX,MAX,MIN,MIN,MIN,WINDRUN,WINDRUN,WINDRUN,PRECIP,PRECIP,PRECIP,EVAP,EVAP,EVAP,DB12,DB12,DB12,WB12,WB12,WB12,DP12,DP12,DP12,RH-12Z,RH-12Z,RH-12Z,PRECIP
,,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,total
STN_ID,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8641000,2023-05,24.1,31.5,29.3,21.7,24.5,23.5,16.2,22.4,19.2,45,86,55.6,27.0,37.5,35.2,22.5,29.5,26.3,,,,0,4.1,0.1,5.0,11.6,8.0,26.5,37.2,34.9,22.5,25.9,24.7,13.9,21.4,16.8,26,74,34.0,4.1
8834098,2023-05,16.9,19.8,18.1,14.9,18.3,16.7,13.4,25.9,16.4,70,97,87.4,22.8,29.0,26.7,11.8,16.2,13.8,10.0,50.6,24.2,0,39.1,6.5,2.0,7.2,3.6,17.7,28.4,24.6,15.7,20.7,18.5,10.3,27.4,15.7,33,89,57.0,182.1
8937022,2023-05,15.7,20.1,18.3,13.4,16.9,15.6,11.6,15.7,14.1,68,96,76.6,22.2,28.6,24.8,9.8,14.6,12.0,61.1,315.6,167.6,0,13.5,1.9,0.6,6.0,4.0,17.3,26.7,22.7,14.5,18.8,17.2,10.3,16.1,14.0,37,89,58.8,54.2
8937065,2023-05,17.4,20.5,18.7,14.3,17.7,16.4,11.7,16.5,15.1,64,92,79.6,20.8,25.7,24.1,12.4,17.5,15.4,1.4,53.4,16.1,0,22.7,1.1,1.6,5.7,3.6,19.8,25.1,23.4,16.3,20.1,18.5,14.3,17.7,16.7,48,85,63.9,31.5
9034025,2023-05,21.0,28.7,23.5,17.6,21.3,19.5,13.4,19.3,17.0,54,83,67.5,24.4,30.7,28.9,16.6,19.4,18.3,81.5,129.1,98.1,0,62.6,4.7,0.3,18.2,5.4,23.6,29.7,28.0,19.0,22.7,21.3,15.0,20.4,17.4,41,79,52.7,136.6
9034088,2023-05,18.3,22.4,20.1,15.5,18.3,17.0,11.8,16.8,15.2,53,85,69.5,21.4,28.6,26.5,14.3,17.8,16.0,,,,0,40.1,9.1,0.0,6.1,3.9,17.8,28.0,25.6,16.2,21.8,20.1,12.0,19.7,17.2,38,74,55.0,272.8
9035349,2023-05,16.0,20.3,18.5,13.3,16.6,15.5,10.2,15.3,13.5,61,90,72.0,21.4,27.6,25.3,9.7,15.5,12.8,,,,0,25.3,4.2,,,,19.9,26.6,24.6,15.6,18.4,17.2,8.6,16.5,12.6,31,74,47.3,113.7
9037202,2023-05,16.7,21.0,18.5,14.7,18.0,16.5,13.1,16.9,15.5,57,92,81.3,21.6,27.0,25.2,13.5,17.5,16.0,23.5,77.0,54.2,0,15.4,2.6,1.8,5.2,3.4,19.6,26.3,24.2,16.5,19.5,18.4,12.8,17.7,15.8,51,82,60.6,78.5
9039000,2023-05,26.5,28.6,27.6,22.6,24.5,23.9,20.6,23.2,22.1,66,80,72.1,30.9,36.2,34.7,23.1,25.6,24.6,115.9,253.6,215.2,0,8.8,0.3,1.9,9.0,6.8,30.5,35.8,34.0,22.7,25.5,24.3,16.0,22.2,19.5,33,65,43.5,9.8
9135001,2023-05,15.4,19.4,17.2,12.5,16.8,15.4,11.7,15.6,14.0,66,95,81.8,20.7,27.7,23.6,10.1,15.9,13.4,,,,0,20.4,1.4,0.0,20.4,1.3,17.7,25.5,22.6,14.6,19.2,17.8,8.3,16.3,13.5,38,88,57.4,40.1
9136087,2023-05,16.1,20.3,18.6,14.8,17.9,16.7,13.6,16.9,15.7,71,92,83.5,20.7,29.4,25.2,14.2,17.7,16.4,8.3,22.3,14.5,0,11.0,1.1,1.0,5.2,3.1,20.2,27.4,24.5,15.9,19.1,17.9,12.4,16.6,14.8,39,79,55.5,34.1
9136164,2023-05,14.8,19.3,17.2,13.9,16.4,15.6,12.6,16.2,14.5,70,98,84.7,18.9,26.5,23.8,12.8,16.6,15.2,23.9,108.8,71.5,0,33.2,3.3,1.0,6.2,3.3,18.6,25.3,22.6,15.4,18.0,17.0,11.3,16.5,13.8,46,81,58.4,78.3
