timestamp,Airtemperature_avg_2,Relativehumidity_avg_2,Precipitation_sum_1,Totalradiation_avg_1,Airpressure_avg_2,Evaporation_avg_1,Leafwetness_avg_2,SoilTemperature_avg_0.05,SoilTemperature_avg_0.1,SoilTemperature_avg_0.2,SoilTemperature_avg_0.5,SoilTemperature_avg_1,SoilTemperature_avg_1.2,Soilmoisture_avg_0.05,Soilmoisture_avg_0.1,Soilmoisture_avg_0.2,Soilmoisture_avg_0.5,Soilmoisture_avg_1,Soilmoisture_avg_1.2,Windspeed_avg_2,Windgustspeed_value_2,Windgustdirection_value_2,Windgusttime_value_2,Winddirection_avg_2,Winddirection_min_2,Winddirection_max_2
2023-05-30 00:00,14,98.8,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.30154332,1.76454292,89,25930,106.1,72,138.8
2023-05-30 00:01,14,98.9,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.53818756,2.43332012,99,30018,101.2,75.3,127.8
2023-05-30 00:06,14,99.1,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.414721,2.63395328,114,30503,93.7,57.1,120.3
2023-05-30 00:07,14,99.2,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.15552036,3.07637512,96,30627,99.3,46.7,120.2
2023-05-30 00:08,14,99.2,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.30154332,1.8777206,113,30703,87.7,66.3,115.8
2023-05-30 00:09,14,99.3,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0320538,2.97348632,115,30821,103.6,81.2,116.9
2023-05-30 00:10,14,99.5,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.44558764,2.314998,86,30912,93,74.6,118.8
2023-05-30 00:11,14,99.6,0,0,828.1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.84170952,3.69885236,97,31045,103.9,84.9,126.2
2023-05-30 00:15,14,99.9,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.71824296,2.6236644,100,31409,118.9,98.1,136.8
2023-05-30 00:16,14,100,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.27898692,3.35931932,119,31600,97,78.3,111.8
2023-05-30 00:17,14,100,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.62564304,3.25643052,113,31603,110,79.3,139.8
2023-05-30 00:18,14,100,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.1092204,2.73169764,130,31748,103.3,70.4,127.5
2023-05-30 00:19,13.9,99.9,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.443609,3.8840522,97,31830,106.7,78.9,131.6
2023-05-30 00:20,13.9,99.7,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.671943,2.63395328,139,31942,120.4,94.9,135.7
2023-05-30 00:21,14,99.6,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.24812028,3.11753064,96,32045,95.4,68.7,122.8
2023-05-30 00:22,14,99.5,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.314998,2.97863076,124,32121,106.1,90.1,122.7
2023-05-30 00:27,14,99,0,0,828,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.60308664,3.3953304,102,32624,98.3,52.2,115.7
